"","klasifikasi","score","text"
"806","Netral",0," suka banget belanja  tokoa semenjak gratis ongkir  voc cashback maudiskon ngga   gabung   kecewa    voc cashback event wib hilang  kecewa tokoa  t"
"807","Netral",0,"aasi nya baguss"
"808","Netral",0,"mohon evaluasi nya  formulir data telnsumen      konsumen barang  diantar  temtujuan   alamatnya  sesuai aelum   dihilangkan    nomor telrsebut salah  tujuannya  memudah k kurir berkomunikasi  nggan  konsumen barang   dikirim "
"809","Positif",3,"bagus bagus bagus"
"810","Positif",1,"bagus"
"811","Negatif",-1," sangan berterima kasiha aasi toko abisa jualan   belanja  gam"
"812","Netral",0,""
"813","Netral",0,"goood"
"814","Positif",1,"mantap"
"815","Positif",1,"pengembalian dana  dibalikin   kecewa h"
"816","Netral",0," gk tokkaya blibli kalo cashback emng engga cair langsung cancel  sisa refund"
"817","Netral",0,"bgs"
"818","Positif",1,"juara "
"819","Netral",0," memuaskan belanja  tokped"
"820","Netral",0,"smga bli blnja  sni lgi"
"821","Netral",0," mudah  membantu"
"822","Netral",0," aya  cb nya  gk cair"
"823","Netral",0,"gg "
"824","Positif",1,"tokoa terbaik "
"825","Netral",0,"uda males belanja  tokoa  gk   diskon  cuman   vocer geratis onkir  gratis onkir nya cuman ngan beraersen  kecewa   tokoa yg "
"826","Negatif",-1,"susah belanja d sinilebih gam  orens ongkir ny jg mahal bgt"
"827","Positif",1,"mantap"
"828","Positif",3,"   bintang dulukalau barang  samsesuai  aman nyaman tentram    full bintangnya"
"829","Netral",0,""
"830","Negatif",-3,"ulasan   mohon maaf  ganti  thn    kebijakan  dimana  biaya layanan setiaansaksi ya okelah ga msalah  ga   taneh nya vc cashback  voucher gratis ongkir    i bersamaan  hmm  gimana gitu ya  belanja mesti mikir lg msh wort it aa klo beli online sma offline tlg  k management tokagar keluhan  costumer   tinjau  "
"831","Positif",2,"sy berkali hub tokoa care krn akun toksy tdk bs diakses lg  akun tsb terhub dgn indodana goater cicil  plus bgmn sy bs byr cicilan sy kl akun tdk bs dibuka  sy  klaim barang yg blm terselesaikan tokoa bgmn "
"832","Netral",0,"aasi kontool gak  login"
"833","Netral",0,"okeh"
"834","Positif",1,"pelit ngasi gratis ongkir mestinya  contoh yg warna orange"
"835","Positif",1,"good job"
"836","Netral",0,"cees nya"
"837","Negatif",-2," runan   diskon    digabung elesaian jomn  berk  ual   adil    rekanjualan tahunan belanja ditok  kali  kecewa berat"
"838","Netral",0," meninggalkan tokoa  beralih  toko sebelah yg gratis ongkirnya gk nekoterimakasih  gratis ongkosnya  "
"839","Positif",1,"oke banget tokped"
"840","Negatif",-2,"   ayaran   ribet  kasian yg    susah  beli barang   ayaran  berbelitbelit"
"841","Positif",1,"fitur  tokcukumudahkan "
"842","Positif",4," kasih bintang  karna  nyaman  tokoa  aasi  bagus "
"843","Netral",0,"ok"
"844","Netral",0,"pengiriman barang  akurat     temukan"
"845","Positif",2,"peni   belanja aun bebas ongkir iklan dgn kenyataan  sesuai  ohongan ik"
"846","Netral",0," "
"847","Netral",0,"   bertahuntahun   kecewa gratis ongkir    digabung  kudiskon  cashback langganan plus  mengecewakan kelebihannya  kuota bebas ongkir   dibatasi  minimum transaksi rb selebihnya   uma  kerena tetadak  dii bersamaan  kudiskon  cashback pengiriman       ritas  kudiskon  cashback belanja   berguna"
"848","Netral",0,"highclass and resif the best for all"
"849","Netral",0,""
"850","Positif",4,"  senang   diskon sesuai taalah   digabung  gratis ongkir ya uma ditambah ongkir  jawa mahal  ya udah good bye pindah toko oren keknya asik sih"
"851","Positif",1,"uenya maksa banget mending uninstall"
"852","Negatif",-1,"kecewa o    i"
"853","Netral",0,"mantakped"
"854","Positif",1,"good"
"855","Netral",0,"pesanan     mendaan driver  mesen   sore  driver  sameday"
"856","Negatif",-1,"kecewa  goater  toko a limit  kasih jt       doang    yg salah  sayatidak  respon"
"857","Netral",0,"gassss"
"858","Positif",4,"saran   tokoa ngiklanin   televisi agi  artis ternama artis korea dll  biaya      biayaanggaran iklan  osi  media televisi  alihkan  subsidi gratis ongkir  banyakin voucher cash back o dll  ing eli   keuntungan mudah murah  simdalam belanja"
"859","Netral",0,"eren"
"860","Positif",1,"good"
"861","Negatif",-1," bug"
"862","Netral",0,"terbariiikk  toko oren"
"863","Positif",1,"oke mantap"
"864","Positif",1,"bagus"
"865","Positif",1,"tokoa   berubah udah bertahun  i tokoa skrg bebas ongkir nya dijadikan voucher bener bener h tokoa "
"866","Netral",0," kecewa  tokoa     gratis ongkir   voucher cashback"
"867","Negatif",-1,"kecewa  tokoa  udh gk    agi  iriman nya gk   sicemalah dioke jne iya   barang  nya"
"868","Positif",2,"   mahal bebas ongkir serasa   selisih   seberaiaya administrasi   ru  meningkatkan kualitas layanan aasi  kali lambat"
"869","Netral",0,"ok bngt"
"870","Positif",5,"tokoa bagus tay sarankan  ayaran reguler  kombinasi  dana  saldo tokoa   rating tokoa  sy kasih  bintang"
"871","Negatif",-2," jelek free ongkir  cashbanknya nggak    bersamaan  nggak  bahan     beralih  oren"
"872","Netral",0,"sya sdah beberahun ni  to y  membantu "
"873","Netral",0,"menarik sih"
"874","Netral",0,"mantah nya  tokoa"
"875","Positif",1," membantu  memudahkan mencari barang kebutuhan"
"876","Netral",0,"oke"
"877","Netral",0,"mengaidak  okirim video  chat   ud video unboxing  chat  seller tauma  okirim gambar invoice  uk"
"878","Negatif",-1," ah dabukti iriman beruotojadi   belanja  dikirim  alamat   suka  aasi sebelah yg  menyertakan foto si rima t  bukti irimannya   tokcm  nama si rima ajatdk disertakan fotosemoga kedeya bs disertakan foto si rima sbg bukti irimanx  samdialamat trtuju"
"879","Positif",3,"aasi tokoa  jelek banget gak  gratis ongkir ditambah kena biaya kalo belanja "
"880","Netral",0,"top"
"881","Netral",0,"blnja  tokoa dngn goater sngat memudahkandngn han ciln yg  tentukan "
"882","Netral",0,"barang   nyaa  jarak solo  sragen aja  belanja  shoja solosragen sehari nyampe"
"883","Netral",0,"cakeeeeeeep"
"884","Positif",1," bermanfaat"
"885","Netral",0,"odjgi"
"886","Netral",0,"smga bgus yahh"
"887","Positif",1,"belanja asyik"
"888","Positif",1,"terbaik"
"889","Netral",0,"my st app"
"890","Netral",0,"ok"
"891","Netral",0,"tokoa yess"
"892","Netral",0,"pengiriman kurir rekomendasi     rekomendasikan h   minggu  estimasi     kesini jasa iriman ko  jelek"
"893","Negatif",-1,"  barang  dikirim seller cacat dikomn tetaa admin  berk  seller"
"894","Positif",1,"aasi good"
"895","Positif",1,"ok mantap"
"896","Negatif",-1," bagus skrng  aharuan berulang jdi lemot buka aasi berat"
"897","Netral",0," top"
"898","Positif",1,"mantap"
"899","Netral",0,"ok"
"900","Negatif",-2,"gara   sistem vocher gratis ongkir gak   gabung  vocher cashback  anehnya belanja   toko taok  item ongkirnya    gila h bgt knk   kayak shodll  tera beralih  toko sebelah terimakasih   tahunnya bye bye tokedbc"
"901","Netral",0,"tingkatkan trsdn bebaskan ongkir"
"902","Netral",0,"suka"
"903","Netral",0,"  "
"904","Positif",1,"good"
"905","Netral",0,"gabisa login"
"906","Netral",0,"sngat kecewa o  bebas ongkir tdak bsa dii bersamaan bda dgn tokdulu"
"907","Positif",1," belanja  tokharus hati hati  barang ujadi gak nyaman belanja  online agi  toksekarang tolong k tokbertindak "
"908","Netral",0,"tokamanah"
"909","Netral",0," membantu"
"910","Negatif",-1,"ya cukumbantu"
"911","Netral",0,"liked it"
"912","Netral",0," gak  cod nya yahal toko nya membuka codtya eli  damenggunakan nya karna gk timbul cod nya"
"913","Netral",0,"rescustomer service ceedan ngangeninjaga  yanannyadan jgn luntuk menera ssenyumsalam terimakasih"
"914","Netral",0," males   aasi"
"915","Netral",0,"udh bertahun  aasi  krna menikmati diskon gratis ongkir      biaya layanan tujuan belanja online krna harga bersaing skrng  aja  beralih  aasi sebelah tutuun jgn  "
"916","Netral",0,"excellent"
"917","Positif",1,"good job"
"918","Positif",2,"sdah brthun atokrna ongkir mrah bgtt yg  dr jkt cma rb sja klau dket bner    trg ongkir mhal bgtt smrb   mahal  trus lg cashback nya gk  d gbung sma gratis ongkir  hrus i plus  ater   nya cashbacknya   d setiabayaran aaja jgn d bda    plus  untk yg mmja klau orang  kyk sy yaa mending  blnja ssu anak  sya selisih rb rb sja  gnti auntuk blnja  terima kasih semoga tobisa si sblumnya"
"919","Positif",1," cocok     membeli  "
"920","Netral",0,"nan  refund gajelas dana embalian  ntah kemana kecewa"
"921","Netral",0,"bayar nan i o gogagal"
"922","Netral",0,"dukun bagus dageratis ongkir   gak  geratis ongkir mending ah langganan  shoopy"
"923","Netral",0,"sesikit membantu"
"924","Negatif",-2,"semenjak  kebijakan   tokoa   to  i  ga minat  belanja  tokoa  ga menarik sistemnya "
"925","Positif",1,"kebijakan    mantap"
"926","Positif",5," kena tiama irim  kasih foto u temya disuruh iin barang udah diterima  gaada han    diterima  gw   terima   a form  mendukung udah  komn    diskusiin  eli dikasih foto u  irim  disuruh mastiin sistem komn kalo barangnya  terima ga  banget anj ga  belanja "
"927","Netral",0,"iini hhh nii hahaha"
"928","Positif",3,"tokoa semenjak gabung  gojek gotojadi nambah jelek samhhhhhh   aja yg bagus  kesini  ancur  o belanja  ru   gratis ongkir  ongkirnya bayar sendirijadi     ru gak kayak shoyang bener  ruada  biaya transaksiada  cashback  gratis ongkir ga   samhh banget"
"929","Netral",0,"mantp"
"930","Positif",1,"good"
"931","Positif",1,"aasi aneh klo ngerefund uang  bank nya     masuk  tokoadan klo ga   o   adain lahsia"
"932","Negatif",-1,"terburuk seang sejarah"
"933","Negatif",-1,"semenjak  ketentuan   kecewatadinya gratis ongkir    bareng voucher cashbacksekarang udah ga bisahal  alasan kebanyakan orang make tokoa karna o gratis ongkir    voucherkecewa min"
"934","Positif",1,"very very good like"
"935","Positif",1,"mantap"
"936","Positif",1,"bagus bos"
"937","Netral",0,"sadiss nih  cashbackfree ongkir h  wkwkwkkwkkwkkwkwkwkwkwkwk cashback   wkwkwkkwkw lawak free ongkir wajib belanja  rb wkwkwkkwkwk"
"938","Positif",2,"bertahun  i tok nyaman semenjak  kebijakan    nyaman"
"939","Netral",0,"  nnti kalo udah dtng psnannku  "
"940","Negatif",-2,"kenaa  ud gambar ya  ing jualan"
"941","Positif",1,"mantap"
"942","Netral",0,"tifak   akses"
"943","Netral",0,"membantu "
"944","Netral",0,"sanagat membantu  bejulan"
"945","Netral",0," ok"
"946","Positif",2," kesini  kesana nich toga  bikin o y bikin ng emak tetangga si oren enak beud udah damember ium  belanja yg murah  diudah   diskon uk sistem cod  seabrek ringkas belanja y betulin  ya mimin toalau ga gw turun sekaranguninstall"
"947","Negatif",-5," tokoa mohon   iklan tuh kasih     iklan tuh   nunggu berjamjam mengangguk  nya  gak larang   iklan tuh taolong  nya  samber ulang ulang h tuh iklan  esmosi  lihat nya"
"948","Netral",0,"pengembaliannya  woy"
"949","Netral",0,""
"950","Negatif",-1,"perkembangan  arah   buruk biaya ngananadmin  maklum tani gk  i voucher cashback  gratis ongkir  bersamaan  nilai negatif"
"951","Positif",2,"peram pesenan   tolak uangnya masuk aasi pas   tarik  admin "
"952","Negatif",-1,"proses embalian barang ng ribet   gocoins   belanja  tokoa   a   beli a  beli token listrik aja selebihnya gak    goolsholing  gak "
"953","Positif",1,"gabungkan voucher  gratis ongkir"
"954","Netral",0,"warbiazahhh"
"955","Positif",1,"gratis ongkir   gabung casback"
"956","Netral",0,"mkin jelekkkk"
"957","Positif",1,"sekarng  kurirada biaya tambahan stoooo"
"958","Positif",1,"mantap"
"959","Netral",0,"lamalama  t free ongkir  vocer  dih   nyatu  milih  gasss uninstall "
"960","Positif",2,"  berbelanja  tokoa   taangat kecewa  tokoa  layanan customer care tokoacare nya  membalas komn     memaksa  menyelesaikan transaksi  dana diteruskan  ual  kali   customer care sei    bintang   kasih bintang "
"961","Positif",1,"aasi  gk jelasribet uda ditulis total ayaran sekian tayamitemmasi  biaya tambahanmembingungkan  arti  total  anga  ue  langsung aja  buang"
"962","Netral",0,"bagusss bgttt"
"963","Negatif",-1,"kesini kurir  lumuan taayang  toko  abal cobalah bersihin status barang stok  giliran klik beli stock abis"
"964","Netral",0,"tolong   seleksi lgi seler nya n kirim nya "
"965","Positif",2,"  senang  kebijakan tokoa  semenjak o cbdiskon  dadi gabung  bebas ongkir kiriman nexday segede   keboo  isi nya cuman  usudah    trimksih tokoa  mendengar  keluh kesah kaum rebahan bintang "
"966","Netral",0,""
"967","Netral",0,"  mencobanya"
"968","Negatif",-2,"   tokyg  skrng   bahan ga  h  voucher o  gratis ongkir nya  ga   i"
"969","Netral",0,"muannntttaaapp"
"970","Netral",0,"nice"
"971","Negatif",-1,"sagat membatu"
"972","Netral",0,"kecoa"
"973","Netral",0,"tokmantaap"
"974","Positif",2,"hati hati transaksi    kl barang samlang  kurir walausudah diretur  ual es embalian dana  kl  transaksi kl  jng  "
"975","Positif",1,"mantakali mudah  cepat"
"976","Positif",1,"belanja tis semoga totambah sukses"
"977","Netral",0,"     taok nggak ad bokep"
"978","Positif",1,"payah voucher diskon  gratis ongkir gabisa digabung hadeh"
"979","Positif",5,"fitur gratis ongkir  kucashbackdiskon    digabung  aengan tokoa  seinya   memulikanmematikan orangorang   u jawa   sayangkan    tetamberikan bintang  samtokoa membereskan kekacauan   salam hangat  warga  u jawa"
"980","Netral",0,"mudah  semoga  menyulitkan  deya"
"981","Negatif",-2,"balikin toksei  kecewa berat   tokdari      kecewa gini  kugratis ongkir   h  kudiskon gk kaya  yg  gratis ongkir  kudiskon balikin  dah  tokyg  sumkecewa"
"982","Netral",0,"ok"
"983","Netral",0,"sanggat membantu ok "
"984","Positif",1,"good job"
"985","Netral",0,"casback  ongkir ngga   gabung  "
"986","Netral",0," kedemalah buruk belanja  gratis ongkir sdh  berguna"
"987","Negatif",-1,"belanja nya udah  bayar via alfamart eh   cancel by system tok bayar sesuai nomer resi tok  gak dabarang   belanjaan saldo  yg  cukuat ngejar uk yg    ceklist hilang o susah belanja i saldo direfund by rekening bank ribet aturannya"
"988","Positif",1,"keren"
"989","Positif",1,"mantap"
"990","Netral",0," ama kali i atoko a"
"991","Netral",0,"belanja  mudah"
"992","Negatif",-1,"tokoa anying elian gagal  vocernya langsung angus"
"993","Netral",0,""
"994","Positif",1,"dimudahkan banget i tokbanyak han ayarannya thanks tokped"
"995","Negatif",-1,"terimakasih   membantu kebutuhan yg mendesak"
"996","Positif",1,"dichat  diingbilang barang ready  dicheckout beli  diesseller ngechat kalo barang kosongminta dibatalkan alhasil keng deh biaya layanan  batal bakul wibu"
"997","Negatif",-1,"cakek nyangka dromo  gak sadar sy   saldo mksh yokoa"
"998","Netral",0,"mmh                                          π    παβ"
"999","Netral",0," mudah "
"1000","Positif",1,"lumayan  aasinya"
"1001","Netral",0,"aoblok asu mneh"
"1002","Positif",1,"barang hilang    komn udah x jam kerja dana  gak   tokoa  kesini  males belanja  tokoa"
"1003","Netral",0," membantu  elian t erja"
"1004","Positif",1,"bagus"
"1005","Positif",1," gw kasih rating  semenjak kebijakan  maaf gw   tera gw turunin nya balikin kebijakan sei   i tokudah bertahun     kecewa"
"1006","Negatif",-1,"kalo  toko a i sial dakurir anterajaa yanv lelet mbokyo   h kurir lainya buang aja anteraja  toko a"
"1007","Positif",1,"mantap"
"1008","Positif",1,"good service"
"1009","Netral",0," menarik lg"
"1010","Netral",0," membantu"
"1011","Netral",0,"   berlangganan plus   i dobel voucher gratis ongkir  cashbackdiskon taernyata  aja"
"1012","Netral",0,"mudah  ceesnyais the best  terimakasih tokoa "
"1013","Positif",1,"bagus"
"1014","Netral",0,"yosha katta"
"1015","Positif",1,"udh bayar  indomaret kena ngan  eh   refund  k toktagn harga ngan tdk include  h"
"1016","Positif",2," nanya     kasih bintang     gak kayak  skrang t  ohong  ngasih diskon vc nggak dacashback nya "
"1017","Positif",1,"tokoa terbaik"
"1018","Negatif",-2,"ga  aasi nya  bug nya"
"1019","Netral",0," diskon"
"1020","Positif",3,"saran  kembalikan  fitur su damenggunakan gratis ongkir  diskon  cashback  elian     kritikal agi    biaya layanan    winwin solution"
"1021","Negatif",-1,"kacau cashback  ilangin"
"1022","Netral",0,"ok"
"1023","Positif",2,"  ah refund tiket wat  tokgak ya masak refund  februari  udah  november  gini belom   refund  janjinya ng lambat   kerja   udah   rsah kalo hamil dah siahiran aja  astaghfirullahnyesel banget order tiket wat  tok  balikin  bintang  kalo november  refund tiketnya nya  terima sesuai ketentuan"
"1024","Positif",1," kesini  kesini  bagus  buruk kebijakan nya nih tokurang berguna banget  cuman  i  voucher sih kalah  aain    nya  belanja jga dicek   batal h nih togak "
"1025","Positif",2,"ketentuan  toyg membatasi gratis ongkir  voucher diskon  dadigabung sungguh  bikin hagunanya   thn sy beralih  tokrn  menarik dgn diskoncashback gratisongkirnya takrng dgn ketentuan   sy r   belanja imbangan sy     aasi oreng   lazada"
"1026","Negatif",-1,"konyol"
"1027","Netral",0,"muantapp"
"1028","Positif",1,"aasi yg    bertanggung "
"1029","Netral",0,"   t mending shoopee"
"1030","Positif",1,"keren udh  n gofood"
"1031","Positif",1,"mantap"
"1032","Positif",1,"tokoa mantab"
"1033","Netral",0,"ok"
"1034","Negatif",-1,"coba  aturan   t batal otomatiskalo estimasi  habissaya  tokoa  exsi  nangis bangkrut  tlo   komn gak  urusin"
"1035","Negatif",-1,"cs samaasi sampah"
"1036","Negatif",-1," ribet aja"
"1037","Netral",0,"terimkasih"
"1038","Netral",0,"tetaakan metode ayaran saldo tokoa yaa"
"1039","Netral",0,"  notif iklan ganggu uninstall ganggu bngd anjir"
"1040","Netral",0,""
"1041","Positif",1,"mantap"
"1042","Negatif",-1,"  tokoa   blm  free ongkirdan samsekarang dlu  orange muncul  gonta ganti aetelah fitur  tokoa  free ongkir   sdh g ah i orange   ahir   kenaitur free ongkirnya dihilangkan ganti  model langganan  sei menutulan u setiaang i aokoa   tokoa  masuk  jalur khusus  dafree ongkir semestinya k devorus mengkaji ulang kebijakn tsb"
"1043","Netral",0,"the only one"
"1044","Negatif",-2,"belanja beberaali ditokoa       memuaskan dimana nan    terkendala  iriman tolong diaiki  tosemakin kesini  buruk ga"
"1045","Positif",1,"udah bagus banget   udah  teratasi  atu tinggal bug kalo hafavorit  gk   halaman "
"1046","Negatif",-1,"  shodan tokoa  samasama  kekurangan  kelebihannya  tetaekurangan    sistem ayaran  cod cash on delivery  susah  membayar  sistem cod   menu   ditentukan sei  indomaret  alfamart   biayanya  mahal ongkos kirimnya  biaya admin nya hamseh  harga barang    melihatlihat  ketimbang berbelanja     mudah kenaidak"
"1047","Netral",0," gratis ongkir  voucer ga  digabung"
"1048","Negatif",-1,"bayar godibalikin  dananya  udh gt keng admin  blnjaanya ga jd admin mah ttng"
"1049","Netral",0,"manta"
"1050","Positif",2,"toko yg amanah   jujur dgn ak"
"1051","Positif",1,"memudah  memenuhi kebutuhan yg tdk mengharuskan   rumah"
"1052","Netral",0," i ue  menarik"
"1053","Netral",0,""
"1054","Positif",1,"  uk gratis    udh x nyoba uk gratisnya  akun   suami tallu dibatalkan   k tokya tau gitu  o vouchernya mending  belanja "
"1055","Positif",1," mudah  nyaman"
"1056","Netral",0,"ok mqntap"
"1057","Netral",0,"ok"
"1058","Netral",0,"mantaf lh"
"1059","Netral",0,"kenaaktu menginstal    kenaula  agk   instal"
"1060","Netral",0," membantu"
"1061","Netral",0,"tokoa  bgt muncul   download  dies   nyebelin bgt lelet  toko lainya gak ah sni trus sistem kranjangnya terbatas bgt  yg  aja unlimited  h  tokped"
"1062","Positif",2,"aman  cepat"
"1063","Negatif",-6,"beli barang total an udah  ongkir  i diskon  udah i asuransi taernyata dateng barang rusak udah komn seller  menanggaefund barang ganti alhasil  batalkan otomatis  kenaang    doang  kesalahan seller   tokdi comn  gak  rugi alesannya k diskon    ckckckck gini  ya nyari duwit si tokmana gak  hitung  an         sisanya kemana"
"1064","Positif",3,"   bahagia senangnya nikmati cinta bersyukur enjoy santai ceria naknya damai gembira  ihklas  ka yaaaa alkhamdulilah"
"1065","Positif",1,"mantul"
"1066","Netral",0,""
"1067","Positif",2,"   hvocher cashback  kecilkena biaya layananvocher cashback  gratis ongkir   dii bersamaaanudah  males belanja "
"1068","Netral",0,"manisss"
"1069","Netral",0," membantu eli"
"1070","Positif",1,"gmna cerita nye  udah bikin akun  tokoa  suruh email gak kyk  nih aasi"
"1071","Positif",1,"mantul"
"1072","Netral",0,"user xence totch"
"1073","Positif",1,"refund dana   tanggal  november  samtanggal  november    keian   tunda tunda"
"1074","Positif",1,"good agi sistem coinnya gak t"
"1075","Netral",0,"tokoa torkotop"
"1076","Netral",0,"oke"
"1077","Negatif",-1,"bang  bug verifikasi"
"1078","Positif",1,"keren"
"1079","Positif",1,"mudah  cepat"
"1080","Netral",0,"mudah"
"1081","Netral",0,"jual rokok  blok hadeehhhh  bossssss"
"1082","Positif",1,"keren"
"1083","Positif",1,"mantap"
"1084","Negatif",-1," aruan  klik  menu     layar "
"1085","Netral",0,"tetatia  si oren"
"1086","Positif",3,"transaksi gagal dana goterng  suruh menunggu    jam uang uang siai tahan"
"1087","Positif",1,"mantab"
"1088","Positif",2,"o    gabung  diskon   enak belanja  tokoa ongkir mahal     beralih  aasi belanja online yg  selamat tingal tokoa"
"1089","Positif",1,"gembel  dibatalin nan nya  rru  tidac ramah"
"1090","Netral",0,"mengaembayaran indodana  aikan      belanja    i indodana tolong   aiki   memakai ayaran indodana"
"1091","Netral",0,"promo   scam  udah bayar   batalin"
"1092","Negatif",-1,"mao beli barang a gagal melulu"
"1093","Netral",0,"erooooorrr"
"1094","Netral",0,""
"1095","Positif",3,"   dongkalau uma aasinya  halalu  masuk  akun   ah wishlist    terima kasih"
"1096","Positif",1,"keren dah tokoa"
"1097","Netral",0,"lancar jaya harga meriah"
"1098","Netral",0," tokoa tolong  nyediakan tukar  h wilayah keuan riautanjung pinang  en tukar  tokoa  damelayani  daerah sayajadi tolong ertian nya"
"1099","Negatif",-1,"aasi terllu bnyak animasi slide  beratanimasi slide bikin simaja akses  ce fungsi tools sdh bgus mo buka gambar aja  stg mati dibandingkan dg hotojauh lbih lemot  th llu an enteng  sll  tount all transaksi skg in nmor  am sorry"
"1100","Negatif",-1," tokoa mantasemoga nggak lemot "
"1101","Netral",0,"payah ngak  cod  daerah aan"
"1102","Positif",3,"tolong  temen temen costumer atikan   t  aasinya su driver mengantar t samedayinstan sesuai titik   driver  mengalami    nganter gak sesuai titik gak teliti  nombok bensin terimakasih salam cerdas"
"1103","Positif",1,"  biaya tambahan   metode ayaran bikin r ulang deh kalo kaya gini bikin malas belanja nya "
"1104","Negatif",-2,"uhhh kecewa  ongkir ya mahal"
"1105","Positif",2," tokaffiliate  sarankan    akses  pc   memudahkan"
"1106","Positif",1,"mantap"
"1107","Negatif",-1,"bertahun  i tokoa    kecewa  tokoa "
"1108","Netral",0,"assalamualaikum  suka  belanja online   barang   ori"
"1109","Netral",0,"  gk  bagusonya  gk jelasdan siaaa ditinggal ama customer"
"1110","Positif",1," bagus"
"1111","Negatif",-2,"kecewa  tokoa komn      gk selesai buangbuang   aomn klo ujungujungnya dibatalkan  mending  diemin aja"
"1112","Negatif",-1,"nyoba belanja  ecomers  aaaaaah semoga nggak kecewa"
"1113","Negatif",-1,"plislah tokdata  bocor   kalinya gara a akun  aasi   why"
"1114","Positif",1,"tokoa  enak aasi nya  ngelag kaya olshong       asik kalo  orang ayoo  kembaliin kenyamanan  didakonsumen"
"1115","Positif",1,"   toped  harga  kantong gratis ongkir transaksi mudah tuuuuch yaaaa   tambahin bintangnya sukses   toped"
"1116","Positif",5," senang  bangga   tosetiambelanjaan dgn tosell  nyaman    dilindungi dimn tobelum  ayaran  ual  barang blm   bebas ongkir  selamat  toselalu menjd yg terdetingkatkan  yanan"
"1117","Negatif",-3,"  melaan bug  misi mendaan energi telur  arian tokoa card   berfungsi   aila  ketik  search   tokoa card    cari larinya  domimkartu alat tong id card dll   ukaan akun tokoa card yg  tetaika  klik saran arian tokoa card  lari  ukaan akun tokoa card   tya tetadak daenergi telur"
"1118","Negatif",-2,"hamsemua situs belanja onlinkebanyakan cari keuntungandari ual barang  dauntuk  situs belanja onlinterus  biaya iriman  dinaikanhal   dicek biaya iriman klo adi  kirim barang  murah  lion el  pos coba  situs onlin  bandingin  tujuan  berat   i mahal  sitis belanja onlinal situs belanja onlin  sifatnya irim  berlangganan rutin    diskon harga"
"1119","Negatif",-1,"pindah  toko orange kesini karna  dafree ongkircashback nya  eh   ga  digabungin free ongkir  cashback nya   deh me toko orange  toko orange maskh  dafree ongkircashback"
"1120","Netral",0,"sya   ranting       ulasan  d elian skil akademy mbiar kartu erja  dad slesaikan"
"1121","Negatif",-1,"klaim asuransi ribet uma  ect asuransi"
"1122","Negatif",-1,"knkarang gk bs buka ulasan ya sy udh uetolong  aiki system nya  tokoa"
"1123","Positif",1," kecewa  toksekarang voucher diskoncashback    digabungin sm gratis ongkir tolong sistem nya dikembalikan s sblm nya"
"1124","Netral",0,"     payah"
"1125","Negatif",-1,"antareja  kalimantan  kg r  bug ta"
"1126","Negatif",-1," daftar aja susahnya  amserver gagal     kalah  sebelahhhhhhh"
"1127","Positif",2," inikok  gk   o gratis ongkir sih    belanja  power badge  official storemohon bantuan seceya"
"1128","Netral",0,"tokoa mantuuuuuoooooouuuul"
"1129","Netral",0,"mantagus"
"1130","Negatif",-1," gk  i ngan harga   kecewa"
"1131","Positif",1,"keren dah"
"1132","Positif",1,"kebijakan   biaya layanan u sucks"
"1133","Netral",0,"mudah  bertransaksi"
"1134","Netral",0,"cb  gratis ongkir g  i bersamaan ga kayak  "
"1135","Positif",3,"gak nyaman  irimanmember  customer serasa dibeda   maaf  bintang  drontang "
"1136","Positif",2,"semoga aasi   amanah  maju "
"1137","Negatif",-1,"tokoa      layanan siceyang layanan kirimnya  buruk cs  resue kiriman  informatif"
"1138","Netral",0,"tokopedia    penjualhati hati  pembeli akses komplan  tokopedia sulit sekalisudah dilaporkan    kendalakecewa  pelayanan  komplain  tokopedia   komn  ual sulit krn tokoa menyediakan sisa  terbatas  elijd ual      mereskomn   sisa   eli mereskalau tdk direscedana  langsung diserahkan  ualini curang"
"1139","Positif",1,"mantap"
"1140","Negatif",-1,"server eror mulu  daftar  ga   tinggal masukin nama lengkaalah server eror"
"1141","Positif",1,"penggunaan  cash back gak   jd gk manfaat"
"1142","Netral",0,"aasi skarang tokoa     jelek  doang bagus  bukti gk  gitu aoba"
"1143","Netral",0,"menu transfer  bank dimana sue"
"1144","Netral",0,""
"1145","Positif",1,"mantap"
"1146","Netral",0,"langsung  hakarna ayarannya     cod"
"1147","Netral",0,"kenaemua voucher yg    "
"1148","Netral",0," kecewa  tokoa  voucher diskon  gratis ongkir gak   bersamaan"
"1149","Positif",2,"bagus banget  belanja  dekorasi kamar   "
"1150","Positif",1,"mantap"
"1151","Positif",1,"mantap"
"1152","Netral",0,"ect"
"1153","Netral",0,"oke"
"1154","Netral",0,"kecewa ama toskrg gak  gratis ongkirvocer cashbackongkir  mahal takasih   dah ngsih cashback"
"1155","Positif",1,"mantab"
"1156","Positif",1,"good"
"1157","Netral",0,""
"1158","Positif",1," bagus  teraya"
"1159","Positif",1," bayar bulanan indiehome  masuk h ayaran loading terusss   mencoba nya beberaali  tetema hedehh"
"1160","Netral",0," kali     transaksi transfer tai notifikasi   transaksi ah uang   "
"1161","Netral",0,"kecewa  gratis ongkir  voucher diskon  cashback   dii  bersamaan   bubarkan  tokoa"
"1162","Netral",0," liat  utk   deada kendala agk"
"1163","Negatif",-1,"payah kebayakan ing salah dmn nya yah    bayar  bank terbayarkan  tokmasih menunggu yaran aja"
"1164","Positif",1,"mantap"
